shop,地址,place ID,urls
Cama_基隆仁愛店,基隆市仁愛區仁二路155號,ChIJiwqW8z5OXTQR4pK6-5XsEd4,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%9F%BA%E9%9A%86%E4%BB%81%E6%84%9B%E5%BA%97/@25.1281245,121.743033,17z/data=!3m1!4b1!4m6!3m5!1s0x345d4f5bb52fb5e9:0xba3ea99e6cfa484d!8m2!3d25.1281245!4d121.7456079!16s%2Fg%2F11hjf6lkyx?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_八德台安店,臺北市松山區八德路二段358號,ChIJ3Xv7ityrQjQRSHbdOq3dQCY,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%85%AB%E5%BE%B7%E5%8F%B0%E5%AE%89%E5%BA%97/@25.0477412,121.5432747,17z/data=!3m1!4b1!4m6!3m5!1s0x3442abdc8a609a81:0x6a4c700c19e07fb1!8m2!3d25.0477412!4d121.5458496!16s%2Fg%2F11b7lflgg3?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_新竹巨城店,新竹市東區民生路129號,ChIJmaL5yNo1aDQRcQWIfpBg8PQ,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%96%B0%E7%AB%B9%E5%B7%A8%E5%9F%8E%E5%BA%97/@24.8103361,120.9741588,17z/data=!3m1!4b1!4m6!3m5!1s0x346835dac5a4666f:0xe73ceeab71de1664!8m2!3d24.8103361!4d120.9767337!16s%2Fg%2F11c601w_gz?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_新竹竹科店,新竹市東區金山八街51號,ChIJ4VlYnyU2aDQRM0YmHRAFxqY,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%96%B0%E7%AB%B9%E7%AB%B9%E7%A7%91%E5%BA%97/@24.8103304,120.9355336,13z/data=!4m10!1m2!2m1!1zY2FtYSBjYWbDqSDmlrDnq7nnq7nnp5Hlupc!3m6!1s0x346836259f5859e1:0x2ed60c6270381257!8m2!3d24.777553!4d121.020617!15sChpjYW1hIGNhZsOpIOaWsOerueerueenkeW6lyIDiAEBWh8iHWNhbWEgY2Fmw6kg5paw56u5IOeruSDnp5Eg5bqXkgEMY29mZmVlX3N0b3Jl4AEA!16s%2Fg%2F1q64704h8?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_新竹光復店,新竹市東區光復路二段269號,ChIJd5_IG3U2aDQR4Oa4P4Sw5Io,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%96%B0%E7%AB%B9%E5%85%89%E5%BE%A9%E5%BA%97/@24.7998611,120.9875478,17z/data=!3m1!4b1!4m6!3m5!1s0x346836751bf38783:0xb5e78a5959a9e0c9!8m2!3d24.7998611!4d120.9901227!16s%2Fg%2F1pp2wz15p?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_竹北文興店,新竹縣竹北市文興路二段523號,ChIJaRllWao3aDQR_30J8jqeD1Q,"https://www.google.com/maps/place/cama+caf%C3%A9+%E7%AB%B9%E5%8C%97%E6%96%87%E8%88%88%E5%BA%97/@24.8071593,121.0182655,15z/data=!3m1!4b1!4m6!3m5!1s0x3468373217c2465b:0x1109903d61b6cdd6!8m2!3d24.8071604!4d121.0367196!16s%2Fg%2F11fmhbb6tr?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_竹北光明店,新竹縣竹北市光明六路東一段251號,ChIJc7XyQ_s2aDQRc5_pIIcF-VM,"https://www.google.com/maps/place/cama+caf%C3%A9+%E7%AB%B9%E5%8C%97%E5%85%89%E6%98%8E%E5%BA%97/@24.8206024,121.0244241,17z/data=!3m2!4b1!5s0x346836fb43527417:0xcda655b9a28c462f!4m6!3m5!1s0x346836fb43f21a21:0xf41c8804f99c3f43!8m2!3d24.8206024!4d121.026999!16s%2Fg%2F12hm4ffzy?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_竹東長春店,新竹縣竹東鎮長春路一段266號,ChIJzy51SuZHaDQR1nH9lpD6btY,"https://www.google.com/maps/place/cama+caf%C3%A9+-%E7%AB%B9%E6%9D%B1%E9%95%B7%E6%98%A5%E5%BA%97/@24.7357015,121.0868156,17z/data=!3m1!4b1!4m6!3m5!1s0x34684760ca5c1def:0x2f8c5ed112a1789c!8m2!3d24.7357015!4d121.0893905!16s%2Fg%2F11sv17j_ll?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_竹北縣政店,新竹縣竹北市中崙里光明六路95號,ChIJhUVEk5I2aDQRTC6qx90yqTA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E7%AB%B9%E5%8C%97%E7%B8%A3%E6%94%BF%E5%BA%97/@24.8271569,120.8645278,12z/data=!4m10!1m2!2m1!1zY2FtYSBjYWbDqSAt56u55pys57ij5pS_5bqX!3m6!1s0x3468378330819b07:0x1a7366da5b1ac39a!8m2!3d24.8271569!4d121.0087234!15sChtjYW1hIGNhZsOpIC3nq7nmnKznuKPmlL_lupciA4gBAVofIh1jYW1hIGNhZsOpIOerueacrCDnuKMg5pS_IOW6l5IBDGNvZmZlZV9zdG9yZeABAA!16s%2Fg%2F11nx1xd7b0?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_明誠農十六,高雄市鼓山區明誠三路743號,ChIJs8-KSasFbjQRZzRDxYM65xA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%98%8E%E8%AA%A0%E8%BE%B2%E5%8D%81%E5%85%AD/@22.6609586,120.2904222,17z/data=!3m1!4b1!4m6!3m5!1s0x346e05ab498a9a2b:0x7b04aa5b306d0daf!8m2!3d22.6609586!4d120.2929971!16s%2Fg%2F11cmdb2ck1?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
