shop,地址,place ID,urls
Cama_羅東公正店,宜蘭縣羅東鎮公正路157號,ChIJCV1j337mZzQRO5iNDCn6Slw,"https://www.google.com/maps/place/cama+caf%C3%A9+%E7%BE%85%E6%9D%B1%E5%85%AC%E6%AD%A3%E5%BA%97/@24.6785493,121.7512807,15z/data=!3m1!4b1!4m6!3m5!1s0x3467e7dca737e417:0x44db5f85f4771804!8m2!3d24.6785504!4d121.7697348!16s%2Fg%2F11hfz2bwyl?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_基隆仁愛店,基隆市仁愛區仁二路155號,ChIJiwqW8z5OXTQR4pK6-5XsEd4,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%9F%BA%E9%9A%86%E4%BB%81%E6%84%9B%E5%BA%97/@25.1281245,121.743033,17z/data=!3m1!4b1!4m6!3m5!1s0x345d4f5bb52fb5e9:0xba3ea99e6cfa484d!8m2!3d25.1281245!4d121.7456079!16s%2Fg%2F11hjf6lkyx?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_八德台安店,臺北市松山區八德路二段358號,ChIJ3Xv7ityrQjQRSHbdOq3dQCY,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%85%AB%E5%BE%B7%E5%8F%B0%E5%AE%89%E5%BA%97/@25.0477412,121.5432747,17z/data=!3m1!4b1!4m6!3m5!1s0x3442abdc8a609a81:0x6a4c700c19e07fb1!8m2!3d25.0477412!4d121.5458496!16s%2Fg%2F11b7lflgg3?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_新竹巨城店,新竹市東區民生路129號,ChIJmaL5yNo1aDQRcQWIfpBg8PQ,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%96%B0%E7%AB%B9%E5%B7%A8%E5%9F%8E%E5%BA%97/@24.8103361,120.9741588,17z/data=!3m1!4b1!4m6!3m5!1s0x346835dac5a4666f:0xe73ceeab71de1664!8m2!3d24.8103361!4d120.9767337!16s%2Fg%2F11c601w_gz?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_新竹竹科店,新竹市東區金山八街51號,ChIJ4VlYnyU2aDQRM0YmHRAFxqY,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%96%B0%E7%AB%B9%E7%AB%B9%E7%A7%91%E5%BA%97/@24.8103304,120.9355336,13z/data=!4m10!1m2!2m1!1zY2FtYSBjYWbDqSDmlrDnq7nnq7nnp5Hlupc!3m6!1s0x346836259f5859e1:0x2ed60c6270381257!8m2!3d24.777553!4d121.020617!15sChpjYW1hIGNhZsOpIOaWsOerueerueenkeW6lyIDiAEBWh8iHWNhbWEgY2Fmw6kg5paw56u5IOeruSDnp5Eg5bqXkgEMY29mZmVlX3N0b3Jl4AEA!16s%2Fg%2F1q64704h8?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_新竹光復店,新竹市東區光復路二段269號,ChIJd5_IG3U2aDQR4Oa4P4Sw5Io,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%96%B0%E7%AB%B9%E5%85%89%E5%BE%A9%E5%BA%97/@24.7998611,120.9875478,17z/data=!3m1!4b1!4m6!3m5!1s0x346836751bf38783:0xb5e78a5959a9e0c9!8m2!3d24.7998611!4d120.9901227!16s%2Fg%2F1pp2wz15p?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_竹北文興店,新竹縣竹北市文興路二段523號,ChIJaRllWao3aDQR_30J8jqeD1Q,"https://www.google.com/maps/place/cama+caf%C3%A9+%E7%AB%B9%E5%8C%97%E6%96%87%E8%88%88%E5%BA%97/@24.8071593,121.0182655,15z/data=!3m1!4b1!4m6!3m5!1s0x3468373217c2465b:0x1109903d61b6cdd6!8m2!3d24.8071604!4d121.0367196!16s%2Fg%2F11fmhbb6tr?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_竹北光明店,新竹縣竹北市光明六路東一段251號,ChIJc7XyQ_s2aDQRc5_pIIcF-VM,"https://www.google.com/maps/place/cama+caf%C3%A9+%E7%AB%B9%E5%8C%97%E5%85%89%E6%98%8E%E5%BA%97/@24.8206024,121.0244241,17z/data=!3m2!4b1!5s0x346836fb43527417:0xcda655b9a28c462f!4m6!3m5!1s0x346836fb43f21a21:0xf41c8804f99c3f43!8m2!3d24.8206024!4d121.026999!16s%2Fg%2F12hm4ffzy?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_竹東長春店,新竹縣竹東鎮長春路一段266號,ChIJzy51SuZHaDQR1nH9lpD6btY,"https://www.google.com/maps/place/cama+caf%C3%A9+-%E7%AB%B9%E6%9D%B1%E9%95%B7%E6%98%A5%E5%BA%97/@24.7357015,121.0868156,17z/data=!3m1!4b1!4m6!3m5!1s0x34684760ca5c1def:0x2f8c5ed112a1789c!8m2!3d24.7357015!4d121.0893905!16s%2Fg%2F11sv17j_ll?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_竹北縣政店,新竹縣竹北市中崙里光明六路95號,ChIJhUVEk5I2aDQRTC6qx90yqTA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E7%AB%B9%E5%8C%97%E7%B8%A3%E6%94%BF%E5%BA%97/@24.8271569,120.8645278,12z/data=!4m10!1m2!2m1!1zY2FtYSBjYWbDqSAt56u55pys57ij5pS_5bqX!3m6!1s0x3468378330819b07:0x1a7366da5b1ac39a!8m2!3d24.8271569!4d121.0087234!15sChtjYW1hIGNhZsOpIC3nq7nmnKznuKPmlL_lupciA4gBAVofIh1jYW1hIGNhZsOpIOerueacrCDnuKMg5pS_IOW6l5IBDGNvZmZlZV9zdG9yZeABAA!16s%2Fg%2F11nx1xd7b0?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_明誠農十六,高雄市鼓山區明誠三路743號,ChIJs8-KSasFbjQRZzRDxYM65xA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%98%8E%E8%AA%A0%E8%BE%B2%E5%8D%81%E5%85%AD/@22.6609586,120.2904222,17z/data=!3m1!4b1!4m6!3m5!1s0x346e05ab498a9a2b:0x7b04aa5b306d0daf!8m2!3d22.6609586!4d120.2929971!16s%2Fg%2F11cmdb2ck1?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_高雄五甲店,高雄市鳳山區五甲二路669號,ChIJ-yoC1kUDbjQRuldFn1aQUhA,"https://www.google.com/maps/place/cama+caf%C3%A9%E9%AB%98%E9%9B%84%E4%BA%94%E7%94%B2%E5%BA%97/@22.5940372,120.326988,17z/data=!3m1!4b1!4m6!3m5!1s0x346e035fb5bc8493:0x64b6fa858f077d37!8m2!3d22.5940372!4d120.3295629!16s%2Fg%2F11ssytqn08?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_市府晴朗店(經典),高雄市苓雅區苓雅一路238號,ChIJCWnZFpsEbjQRlolefroI1s0,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%B8%82%E5%BA%9C%E6%99%B4%E6%9C%97%E5%BA%97/@22.6212095,120.2922438,15z/data=!3m2!4b1!5s0x346e049653b8413f:0x475afda60ba9f132!4m6!3m5!1s0x346e051b71edbcc9:0x1f8ea5cefc6fc691!8m2!3d22.6212106!4d120.3106979!16s%2Fg%2F11nmctz4sr?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_高雄明華店,高雄市左營區明華一路205號,ChIJUT-SeAMFbjQRe_svrhQynnA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E9%AB%98%E9%9B%84%E6%98%8E%E8%8F%AF%E5%BA%97/@22.6627924,120.3036246,17z/data=!3m1!4b1!4m6!3m5!1s0x346e0503788df461:0x5cdcd2e341176b6b!8m2!3d22.6627924!4d120.3061995!16s%2Fg%2F11gzscthw?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_十全民族店,高雄市三民區十全一路34號,ChIJNZoRQ-8EbjQRJbv8yBNFBIA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8D%81%E5%85%A8%E6%B0%91%E6%97%8F%E5%BA%97/@22.6448812,120.2948841,15z/data=!3m1!4b1!4m6!3m5!1s0x346e04efa6809365:0xb650824d5edbb366!8m2!3d22.6448823!4d120.3133382!16s%2Fg%2F1q62k3y45?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_台南民族店,臺南市中西區民族路三段247號,ChIJdQXnoWh2bjQRAlPE18nIi6Q,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8F%B0%E5%8D%97%E6%B0%91%E6%97%8F%E5%BA%97/@22.9995158,120.1907269,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77d94408ce39:0xa1a541ab5d513a34!8m2!3d22.9995158!4d120.1933018!16s%2Fg%2F11tx5s02b2?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_台南新市店,臺南市新市區復興路52號,ChIJnWxps1d6bjQRTaYCD-nsgSw,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8F%B0%E5%8D%97%E6%96%B0%E5%B8%82%E5%BA%97/@23.0812592,120.2930002,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7b1f90ca99ef:0x473a1016b51c4274!8m2!3d23.0812592!4d120.2955751!16s%2Fg%2F11lkzsw9ll?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_南科銘傳店,臺南市新市區銘傳街128巷2號,ChIJofbCeVx6bjQRR2UmsP__zt4,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%96%B0%E5%B8%82%E5%8D%97%E7%A7%91%E9%8A%98%E5%82%B3%E5%BA%97/@23.0743084,120.2868141,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7b665621ee63:0xbcf28eecc63a6a4f!8m2!3d23.0743084!4d120.289389!16s%2Fg%2F11n820g_mn?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_天母中山店,臺北市士林區中山北路六段41號,ChIJ-2OmRZeuQjQRvlDUBlo5FX8,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%A4%A9%E6%AF%8D%E4%B8%AD%E5%B1%B1%E5%BA%97/@25.1037693,121.5062276,15z/data=!3m1!4b1!4m6!3m5!1s0x3442af88f0405eb5:0xc9f0291f80d59e03!8m2!3d25.1037704!4d121.5246817!16s%2Fg%2F11nfv_sgpf?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_新營民治店,臺南市新營區民治路312號,ChIJBSVtr9aFbjQRfDvDuDzGMQ0,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%96%B0%E7%87%9F%E6%B0%91%E6%B2%BB%E5%BA%97/@23.3069601,120.3010844,17z/data=!3m1!4b1!4m6!3m5!1s0x346e854699f7ec6f:0xf47e73f86da9ec3f!8m2!3d23.3069601!4d120.3036593!16s%2Fg%2F11td5nbsxr?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_秋紅谷朝富店,臺中市西屯區朝富路50號,ChIJsRwA4vM9aTQRkj2vJcSnDec,"https://www.google.com/maps/place/cama+caf%C3%A9+%E7%A7%8B%E7%B4%85%E8%B0%B7%E6%9C%9D%E5%AF%8C%E5%BA%97/@24.1665224,120.6346856,17z/data=!3m1!4b1!4m6!3m5!1s0x34693d73f78aa4b1:0xbfb81b440df605fd!8m2!3d24.1665224!4d120.6372605!16s%2Fg%2F11t3cv2sgh?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_台中學府店(亮點),臺中市南區學府路210號,ChIJc0d-swU9aTQRt-Q7Y7rqrPA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8F%B0%E4%B8%AD%E5%AD%B8%E5%BA%9C%E5%BA%97/@24.1301657,120.6710711,17z/data=!3m1!4b1!4m6!3m5!1s0x34693d73327e477f:0x45444ae4a613a49!8m2!3d24.1301657!4d120.673646!16s%2Fg%2F11rcsp50xc?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_大甲站前店,臺中市大甲區中山路一段959-1號,ChIJSTnjwv0RaTQRzfRivf1QVSM,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%A4%A7%E7%94%B2%E7%AB%99%E5%89%8D%E5%BA%97/@24.3448501,120.6081849,15z/data=!3m1!4b1!4m6!3m5!1s0x346911fb57ee0add:0x3fd554e8840f4a4f!8m2!3d24.3448512!4d120.626639!16s%2Fg%2F11tny4fl_0?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_台中民權店,臺中市西區民權路77號,ChIJV1xWLRI9aTQRjCwRch61lxA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8F%B0%E4%B8%AD%E6%B0%91%E6%AC%8A%E5%BA%97/@24.1373235,120.6778231,17z/data=!3m1!4b1!4m6!3m5!1s0x34693d13cd50aacf:0x547ce3631092d15b!8m2!3d24.1373235!4d120.680398!16s%2Fg%2F11b6211621?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_台中中科店,臺中市西屯區福康路136號,ChIJVZjhSv0VaTQRCrGAS1uPYQ8,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8F%B0%E4%B8%AD%E4%B8%AD%E7%A7%91%E5%BA%97/@24.1875198,120.6161735,17z/data=!3m1!4b1!4m6!3m5!1s0x346915e2b5ac6363:0xffca6cd4f96a5b13!8m2!3d24.1875198!4d120.6187484!16s%2Fg%2F1hm2hnwqc?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_桃園大有店,桃園市桃園區大有路465號,ChIJ4RFDdU8eaDQRp-ajH7Tu9rk,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%A1%83%E5%9C%92%E5%A4%A7%E6%9C%89%E5%BA%97/@25.0123565,121.3000393,15z/data=!3m1!4b1!4m6!3m5!1s0x34681f3a1b104c21:0xf14ad76e037356d1!8m2!3d25.0123576!4d121.3184934!16s%2Fg%2F11p4dq70bk?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_桃園大園店,桃園市大園區中正西路27號,ChIJq5cvkZggaDQRar8jpD4JfA0,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%A1%83%E5%9C%92%E5%A4%A7%E5%9C%92%E5%BA%97(%E5%92%96%E5%95%A1.%E8%BC%95%E9%A3%9F)/@25.0633108,121.1923318,17z/data=!3m1!4b1!4m6!3m5!1s0x3468216e5db525d7:0x633f284df7644157!8m2!3d25.0633108!4d121.1949067!16s%2Fg%2F11rvlqtmvj?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_桃園聖保祿店,桃園市桃園區建新街139號,ChIJ12Cc-eAeaDQRNbM4auqY2eU,"https://www.google.com/maps/place/cama+cafe%E2%80%99+%E5%92%96%E7%A2%BC%E5%92%96%E5%95%A1+%E6%A1%83%E5%9C%92%E8%81%96%E4%BF%9D%E7%A5%BF%E5%BA%97(%E7%8F%BE%E7%83%98%E5%92%96%E5%95%A1%E3%80%81%E8%8C%B6%E9%A3%B2%E3%80%81%E5%86%A0%E8%BB%8D%E9%BA%B5%E5%8C%85%EF%BC%89/@24.9817414,121.3090194,17z/data=!3m1!4b1!4m6!3m5!1s0x34681f89846259eb:0x9da2cf533d7aac98!8m2!3d24.9817414!4d121.3115943!16s%2Fg%2F11jt1zm2sv?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_中壢中央店,桃園市中壢區中央西路一段119號,ChIJdaUQeUoiaDQRf34wEwPrbGk,"https://www.google.com/maps/place/cama+caf%C3%A9+%E4%B8%AD%E5%A3%A2%E4%B8%AD%E5%A4%AE%E5%BA%97/@24.9579154,121.0759727,12z/data=!3m1!5s0x3468224a78e417eb:0x98524594898eb7da!4m10!1m2!2m1!1zY2FtYSBjYWZl4oCZIOS4reWjouS4reato-W6lyjnj77ng5jlkpbllaHjgIHojLbpo7LjgIHlhqDou43purXljIXvvIk!3m6!1s0x3468224a791e53af:0x4461e35e2969a166!8m2!3d24.9579154!4d121.2201683!15sCkRjYW1hIGNhZmXigJkg5Lit5aOi5Lit5q2j5bqXKOePvueDmOWSluWVoeOAgeiMtumjsuOAgeWGoOi7jem6teWMhe-8iSIDiAEBWkMiQWNhbWEgY2FmZSDkuK0g5aOiIOS4reatoyDlupcg54--IOeDmCDlkpbllaEg6Iy2IOmjsiDlhqDou40g6bq15YyFkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11by_fzny0?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_八德介壽店,桃園市八德區介壽路一段876號,ChIJIcZb19IYaDQR670UdE5P_1g,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%85%AB%E5%BE%B7%E4%BB%8B%E5%A3%BD%E5%BA%97/@24.96029,121.2810043,15z/data=!3m1!4b1!4m6!3m5!1s0x346819b10fcff46d:0x904d17157ffd5ea9!8m2!3d24.9602911!4d121.2994584!16s%2Fg%2F11tnxnxl7q?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_淡水新市店,新北市淡水區中山北路二段201號,ChIJ_XX5Qqq6QjQRyTvg9XVfBmA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%B7%A1%E6%B0%B4%E6%96%B0%E5%B8%82%E5%BA%97/@25.1854885,121.4414694,17z/data=!3m2!4b1!5s0x3442baaa424ed991:0xe99862e4e95ed061!4m6!3m5!1s0x3442baaa6796ebdd:0x4e704407eefea056!8m2!3d25.1854885!4d121.4440443!16s%2Fg%2F11bxg5qc56?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_板橋莊敬店,新北市板橋區莊敬路201號,ChIJR1k7mj6oQjQRjsxmobw6iCc,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%9D%BF%E6%A9%8B%E8%8E%8A%E6%95%AC%E5%BA%97/@25.0220038,121.4538744,15z/data=!3m2!4b1!5s0x3442a83e9b004389:0xb3d2d25fbb323efe!4m6!3m5!1s0x3442a95117f44e37:0xd609e64e25d1cb42!8m2!3d25.0220049!4d121.4723285!16s%2Fg%2F11wxq7hq5m?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_樹林中山店,新北市樹林區中山路一段180號,ChIJbewTOhYdaDQRZgy9mXCrM_E,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%A8%B9%E6%9E%97%E4%B8%AD%E5%B1%B1%E5%BA%97/@24.9888643,121.4191807,17z/data=!3m1!4b1!4m6!3m5!1s0x34681d65b1076eb7:0x6509c3347e5bbd0d!8m2!3d24.9888643!4d121.4217556!16s%2Fg%2F11y5q4flrr?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_汐止復興店,新北市汐止區復興路26號,ChIJQ7ft5GtTXTQRgH808LS_h0A,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%B1%90%E6%AD%A2%E5%BE%A9%E8%88%88%E5%BA%97/@25.0634933,121.6534136,17z/data=!3m1!4b1!4m6!3m5!1s0x345d535cbb4acbe1:0x3b0b153b264cade8!8m2!3d25.0634933!4d121.6559885!16s%2Fg%2F11rlrqx3m8?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_永和中山店,新北市永和區中山路一段220號,ChIJc9HxqMSpQjQR501vx2_dOW0,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%B0%B8%E5%92%8C%E4%B8%AD%E5%B1%B1%E5%BA%97/@25.0083332,121.5056325,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a9e9e0b1b961:0xce3f1cb316dbed41!8m2!3d25.0083332!4d121.5082074!16s%2Fg%2F12hs5dtnb?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_台北師大店,臺北市大安區台北市大安區師大路11號,ChIJW9w6oYWpQjQRivheo6qjwdg,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8F%B0%E5%8C%97%E5%B8%AB%E5%A4%A7%E5%BA%97/@25.0255631,121.5259215,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a99d75fdcf93:0x1cf8f3a6aabc429d!8m2!3d25.0255631!4d121.5284964!16s%2Fg%2F11p5nrk7k3?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
